;Profitcenter;Kostenart;Executed-Ist;Sign;Planentwurf;Plan;Produktbereich;Bezeichnung;Year
0;100000000;441100;7233.5;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
1;100000000;446100;-1208.41003418;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
2;100000000;501100;-4373907.5;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
3;100000000;501200;-8691340.0;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
4;100000000;501900;-1103.60998535;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
5;100000000;501901;-23501.0390625;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
6;100000000;502200;-578834.5625;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
7;100000000;502900;-74.5100021362;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
8;100000000;503200;-1716748.0;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
9;100000000;503900;-170.789993286;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
10;100000000;504100;-1.01999998093;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
11;100000000;509100;-38860.7304688;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
12;100000000;511100;-1650166.0;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
13;100000000;442100;-37161.328125;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
14;100000000;441100;-7233.5;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
15;100000000;446100;1208.41003418;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
16;100000000;503900;170.789993286;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
17;100000000;503200;1716748.0;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
18;100000000;502900;74.5100021362;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
19;100000000;502200;578834.5625;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
20;100000000;501901;23501.0390625;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
21;100000000;501900;1103.60998535;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
22;100000000;501200;8691339.0;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
23;100000000;501100;4373907.5;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
24;100000000;509100;38860.7304688;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
25;100000000;442100;37161.3320312;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
26;100000000;511100;1650166.0;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
27;100000000;504100;1.01999998093;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
28;100000100;501200;-1356441.75;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
29;100000100;503200;-421325.0625;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
30;100000100;509100;-8091.50976562;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
31;100000100;511100;-22122726.0;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
32;100000100;514100;-4179943.5;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
33;100000100;514101;-8357.23046875;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
34;100000100;501200;1356441.75;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
35;100000100;502200;-127985.59375;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
36;100000100;501100;828637.5;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
37;100000100;514101;8357.22949219;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
38;100000100;514100;4179943.5;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
39;100000100;511100;22122726.0;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
40;100000100;509100;8091.50976562;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
41;100000100;503200;421325.0625;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
42;100000100;502200;127985.585938;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
43;100000100;501100;-828637.5;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
44;101000102;545100;20792.3203125;plus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2008
45;101000102;571140;625.0;plus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2008
